mijiadezhongshifensi	米_家__的_忠____实__粉__丝_
sudukuai	速_度_快___
zhiwengeili	指__纹__给__力_
mosuozhong	摸_索__中____
yongleyitian	用___了_一_天___
zongdelaishuohenmanyi	总___的_来__说___很__满__意_
chulebeiban	除__了_背__板__
meiyoujinshuzhigan	没__有__金__属__质__感__
danshouganhenhao	但__手___感__很__好__
haiyouyidianjiushidiaodianyoudiankuai	还__有__一_点___就__是__掉___电___有__点___快___
diyicimaimeizu	第_一_次_买__魅__族_
meiyoushiwang	没__有__失__望___
waiguanpiaoliang	外__观___漂___亮____
henda	很__大_
henqing	很__轻___
henhaoyong	很__好__用___
zhiwenshibieyehenkuai	指__纹__识__别__也_很__快___
feichangzhi	非__常____值__
henhaodetiyan	很__好__的_体_验__
buguanzenmeshuo	不_管___怎__么_说___
zhegejia	这__个_价__
ganjuebiyibanyaokuai	感__觉__比_一_般__要__快___
budebushuo	不_得_不_说___
zhendefeichangbang	真___的_非__常____棒___
tuijian	推__荐___
yidiandoubuhouhuixuanlemeizu	一_点___都__不_后__悔__选___了_魅__族_
yinweihezilitoubeinongzangle	因__为__盒_子_里_头__被__弄___脏___了_
yeyouzhiwenhenji	也_有__指__纹__痕__迹_
jingdongkuaidihenkuai	京___东___快___递_很__快___
zongtihaishibucuo	总___体_还__是__不_错__
xiwangzhiliangbuyaorangxiaofeizheshiwang	希_望___质__量____不_要__让___消___费__者__失__望___
xitongyouhuahenhao	系_统___优__化__很__好__
bimx4liuchangbushao	比_mx4流__畅____不_少___
woyezhenshiwuyu	我_也_真___是__无_语_
jizishihoufengde	机_子_是__后__封___的_
tongyigewifilianjiexinhaoburuiphone4s	同___一_个_wifi连___接__信__号__不_如_iphone4s
jizibeikeyidiandian	机_子_被__磕_一_点___点___
buguokeyijieshou	不_过__可_以_接__受___
ganjuehomeanjianyoudianwai	感__觉__home按_键___有__点___歪__
haiyouneicunshenmedoumeikaijiuzhanleyiban	还__有__内__存__什___么_都__没__开__就__占___了_一_半__
bijingqianyuandeshouji	毕_竟___千___元___的_手___机_
zongtihaikeyi	总___体_还__可_以_
guochanzuishenji	国__产___最__神___机_
xingjiabizhiwang	性___价__比_之__王___
maishoujiliangqianyuanjizuihaodexuanze	买__手___机_两____千___元___机_最__好__的_选___择_
meiyouzhiyi	没__有__之__一_
shoujidashenjilituijian	手___机_大_神___极_力_推__荐___
guoranshikeji	果__然__是__棵_机_
modoumeiyou	膜_都__没__有__
kengdetaocan	坑___的_套__餐__
shoujisonglaihoukejiuyouhuashang	手___机_送___来__后__壳_就__有__划__伤____
yanseye	颜__色_也_
jingdongejiushibucuo	京___东___额就__是__不_错__
shoujihenhaoyong	手___机_很__好__用___
geili	给__力_
buguojueduiduideqi599jiage	不_过__绝__对__对__得_起_599价__格_
chulemeiyoucaidanjian	除__了_没__有__菜__单__键___
haiyoupingmujingbuqixikan	还__有__屏___幕_经___不_起_细_看__
qitadoubucuo	其_他_都__不_错__
ganjuehaibucuo	感__觉__还__不_错__
yunxingsuduhaikeyi	运__行___速_度_还__可_以_
geifuqinyongde	给__父_亲__用___的_
yinggaikeyimanzurichangpeizhixuqiu	应___该__可_以_满__足_日_常____配__置__需_求__
shoujitingbucuode	手___机_挺___不_错__的_
jiushichaikaibaozhuangzenmejiuyigeshouji	就__是__拆___开__包__装_____怎__么_就__一_个_手___机_
yigechongdianqi	一_个_充____电___器_
meibiedele	没__别__的_了_
gangnadaoshou	刚___拿_到__手___
baise	白__色_
henpiaoliangdeganjue	很__漂___亮____的_感__觉__
shouganhenhao	手___感__很__好__
shiwuliuhenkuai	是__物_流__很__快___
henmanyi	很__满__意_
shoujihengeili	手___机_很__给__力_
haojicizaijingdongmaishoujile	好__几_次_在__京___东___买__手___机_了_
doushizhengpin	都__是__正____品__
wuliuyehengeili	物_流__也_很__给__力_
bucuo	不_错__
zanyige	赞__一_个_
shoujiwaiguanjingzhipiaoliang	手___机_外__关___精___致__漂___亮____
jingjishihui	经___济_实__惠__
jingdongshangchenggouwufangbian	京___东___商____城____购__物_方___便___
zhidexinlai	值__得_信__赖__
jingdongkuaidicirijiushoudaole	京___东___快___递_次_日_就__收___到__了_
diercigoumaile	第_二_次_购__买__了_
yizhiyongmeizuxiliedeshouji	一_直__用___魅__族_系_列__的_手___机_
xingjiabigao	性___价__比_高__
shoujihaikeyi	手___机_还__可_以_
wuliudaoshiyiliu	物_流__倒__是__一_流__
zuotianmaijintiandao	昨__天___买__今__天___到__
geilidianzan	给__力_点___赞__
sudukeyia16gexiaoshidaoshou	速_度_可_以_啊16个_小___时__到__手___
shoujiwangsukeyibipingguohao	手___机_网___速_可_以_比_苹___果__好__
chupingshouganlianghao	触__屏___手___感__良____好__
beimiankedangjingziyongle	背__面___可_当___镜___子_用___了_
pingmusechayouwenti	屏___幕_色_差__有__问__题_
diaozhengyemeiyong	调___整____也_没__用___
bishangcimaidemingxianhui	比_上____次_买__的_明___显___灰__
799miaode	799秒___的_
xingjiabigao	性___价__比_高__
yunxingliuchang	运__行___流__畅____
shoujihenhao	手___机_很__好__
zhiqianyizhijiujiemx5hehuaweirongyao7	之__前___一_直__纠__结__mx5和_华__为__荣___耀__7
kaolvxingjiabizhihoumailezhekuanmx5	考__虑_性___价__比_之__后__买__了_这__款___mx5
zongzhihenmanyi	总___之__很__满__意_
jiushi2070wandexiangsuchadeyisi	就__是__2070万__的_像____素_差__的_意_思_
caiyongliangtian	才__用___两____天___
yongyiduanshijianzhihouzaipinglunba	用___一_段___时__间___之__后__再__评___论__吧_
buduoshuo	不_多__说___
guochanliangxinji	国__产___良____心__机_
nizhideyongyou	你_值__得_拥___有__
dengdaizhong	等___待__中____
2haoxiadan	2号__下__单__
3haoshoudao	3号__收___到__
buguonadaoshoujifaxianpingmuyoushangjiaoyujishentieheyouwenti	不_过__拿_到__手___机_发_现___屏___幕_右__上____角___与_机_身___贴__合_有__问__题_
xianyibanlituihuo	现___已_办__理_退__货__
yongshouqinganyouyixiang	用___手___请___按_有__异_响____
youxiachenganjue	有__下__沉___感__觉__
jingdongdefuwuhaishibucuode	京___东___的_服_务_还__是__不_错__的_
henhao	很__好__
geijiejiemaide	给__姐__姐__买__的_
wuliuhenkuai	物_流__很__快___
tahenxihuan	她_很__喜_欢___
yongqilaishougan	用___起_来__手___感__
yunxinghenliuchang	运__行___很__流__畅____
danshiwuxianwanglianjiezhenxinbuwending	但__是__无_线___网___连___接__真___心__不_稳__定___
xianzaimanmanhaole	现___在__慢__慢__好__了_
chuleyansebutaimanyi	除__了_颜__色_不_太__满__意_
qitadedoukeyi	其_他_的_都__可_以_
shoujihaisuanbucuo	手___机_还__算___不_错__
jiushiwifiyoushihuiduanxian	就__是__wifi有__时__会__断___线___
buzhidaoshishenmewenti	不_知__道__是__什___么_问__题_
shoujimanpiaoliangde	手___机_蛮__漂___亮____的_
yunxingsuduyekuai	运__行___速_度_也_快___
jiushidianbunaiyong	就__是__电___不_耐__用___
shoujimeishenmewenti	手___机_没__什___么_问__题_
zhuyaoshijingdongsonghuokuai	主__要__是__京___东___送___货__快___
bangpengyoumaide	帮___朋___友__买__的_
yongleyixia	用___了_一_下__
ganjuebucuo	感__觉__不_错__
wuyousuozhi	物_有__所__值__
tinghao	挺___好__
bucuo	不_错__
laopoxihuan	老__婆_喜_欢___
simkachushaoyoudiansong	sim卡_处__稍___有__点___松___
haibucuole	还__不_错__了_
dangbeiyongjishikeyide	当___备__用___机_是__可_以_的_
wandaxingyouxihaishiqijianshoujicaide	玩__大_型___游__戏_还__是__旗_舰___手___机_才__得_
zhenbang	真___棒___
taixihuanle	太__喜_欢___了_
wuyilunbi	无_以_伦__比_
feichangniubi	非__常____牛__逼_
jixuzhichimeizu	继_续_支__持__魅__族_
xinxitongshiyongyehenshunchang	新__系_统___使__用___也_很__顺___畅____
dongxidaolejimangchakashiyong	东___西_到__了_急_忙___插__卡_使__用___
bingmeipaizhao	并___没__拍__照___
zhiwenjiesuofeichangkuai	指__纹__解__锁__非__常____快___
xinlogojianyuemeiguan	新__logo简___约__美__观___
shoujishouganbucuo	手___机_手___感__不_错__
lingwaijingdongkuaidixiaogefuwuhenhao	另___外__京___东___快___递_小___哥_服_务_很__好__
chaoniubi	超___牛__逼_
wupinyishoudao	物_品__已_收___到__
biaomiankanhaishikeyi	表___面___看__还__是__可_以_
yaotiyanyiduanshijiancaizhidaohaobuhaoyong	要__体_验__一_段___时__间___才__知__道__好__不_好__用___
zheyoushenmehaopinglunde	这__有__什___么_好__评___论__的_
zaojiuxiangmaidejizizhongyudaoshoulejiushisudufeichangkuaifeichangkuai	早__就__想____买__的_机_子_终____于_到__手___了_就__是__速_度_非__常____快___非__常____快___
buyongershisixiaoshijiudaole	不_用___二_十__四_小___时__就__到__了_
zhiliangbucuo	质__量____不_错__
jiageheli	价__格_合_理_
geili	给__力_
yongleliangtian	用___了_两____天___
ganjuechaohaoyong	感__觉__超___好__用___
meizudeshoujiguoranbucuo	魅__族_的_手___机_果__然__不_错__
wuliuhenkuai	物_流__很__快___
baozhuangfeichangjingmei	包__装_____非__常____精___美__
dongxidaoshoule	东___西_到__手___了_
yinweizhunbeizuobeiyongji	因__为__准___备__做__备__用___机_
suoyibingmeiyouyaoqiutaikeke	所__以_并___没__有__要__求__太__苛_刻_
zongdelaishuo	总___得_来__说___
tiyanhaishihenbucuode	体_验__还__是__很__不_错__的_
flymebingmeiyouxiangxiangdenamehao	flyme并___没__有__想____象____的_那_么_好__
danshihaiyoubushaoyoudian	但__是__还__有__不_少___优__点___
xiangduiyumiuilaishuokeyishuogeyouqianqiu	相____对__于_miui来__说___可_以_说___各_有__千___秋__
miuideshezhijiaoweifansuo	miui的_设__置__较___为__繁__琐__
flymebingmeiyouzhefangmiandequedian	flyme并___没__有__这__方___面___的_缺__点___
xiangfan	相____反__
shezhishifenjiandan	设__置__十__分__简___单__
zhegebijiaojingyan	这__个_比_较___惊___艳__
dibudeyitihuaanjianyebucuo	底_部_的_一_体_化__按_键___也_不_错__
weizhenggejizijialebushaofen	为__整____个_机_子_加__了_不_少___分__
lingwaishoujisimkashiyongdezuixiaodenazhong	另___外__手___机_sim卡_是__用___的_最__小___的_那_种____
benlaijiushi4gxiaoka	本__来__就__是__4g小___卡_
haidehuawukuaiqianjiandegengxiao	还__得_花__五_块___钱___剪___的_更___小___
haidewoyixiawu6meizhuangmeizhuangka	害__得_我_一_下__午_6没__装_____没__装_____卡_
youdianxiaoyihan	有__点___小___遗_憾__
haiyoudianchizaixuhangnenglishangbiaoxianhaisuankeyi	还__有__电___池__在__续_航___能___力_上____表___现___还__算___可_以_
xiangjiaoyuyiqianyongguodehaishuodeguoqu	相____较___于_以_前___用___过__的_还__说___的_过__去_
jiubuduoshuoshenmele	就__不_多__说___什___么_了_
haikeyi	还__可_以_
shiyonglejigexiaoshi	试__用___了_几_个_小___时__
ganjuebucuo	感__觉__不_错__
wanyouxihenliuchang	玩__游__戏_很__流__畅____
pingmuguanganbucuo	屏___幕_观___感__不_错__
jiushikacaohedianyuanjianyouxiesong	就__是__卡_曹__和_电___源___键___有__些__松___
buyingxiangshiyong	不_影___响____使__用___
haoping	好__评___
keyi	可_以_
geijiejiemaide	给__姐__姐__卖__的_
fahuokuai	发_货__快___
diertianjiushoudaole	第_二_天___就__收___到__了_
yunxingliuchang	运__行___流__畅____
henbucuo	很__不_错__
quchalexiashizhengpin	去_查__了_下__是__正____品__
lingwaibiaoyangxiakuaidiyuan	另___外__表___扬___下__快___递_员___
henyongxin	很__用___心__
jiangduogebaoguobangwoyongjiaodaizhanyiqihaiteyifaxinxigaosuwo	将____多__个_包__裹__帮___我_用___胶___带__粘___一_起_还__特_意_发_信__息_告__诉_我_
baozhuangyoudianjianlou	包__装_____有__点___简___陋__
fanyingtingkuaide	反__应___挺___快___的_
yongleyitian	用___了_一_天___
ganjuehaibucuo	感__觉__还__不_错__
zongtihaihaoba	总___体_还__好__吧_
baozhuangtinghaode	包__装_____挺___好__的_
wanwanleyixiawumeichuxianshenmewenti	完__玩__了_一_下__午_没__出__现___什___么_问__题_
jiushiganjuexinhaoyoudianbuwending	就__是__感__觉__信__号__有__点___不_稳__定___
yekenengshiwoshoujikadewentiba	也_可_能___是__我_手___机_卡_的_问__题_吧_
shoujiyoudianqing	手___机_有__点___轻___
buguojibaikuaideshoujijiuzheyangle	不_过__几_百__块___的_手___机_就__这__样___了_
xihuanmeizu	喜_欢___魅__族_
shiyinweizheyangdejiage	是__因__为__这__样___的_价__格_
hainengyouzheyangdezhigan	还__能___有__这__样___的_质__感__
ganjuehuasuan	感__觉__划__算___
baobeizhengzaiyong	宝__贝__正____在__用___
buzhidaozenmeyangne	不_知__道__怎__么_样___呢_
kuaidichaogeili	快___递_超___给__力_
jizigangdao	机_子_刚___到__
yunxingsudukuai	运__行___速_度_快___
mai1deshihouqiangbudaolanse	买__1的_时__候__抢____不_到__蓝__色_
mai2jiuqiangdaole	买__2就__抢____到__了_
songhuosudukuai	送___货__速_度_快___
bucuo	不_错__
shoujixingnenghaixing	手___机_性___能___还__行___
haoyong	好__用___
henpiaoliang	很__漂___亮____
shizhengpin	是__正____品__
wuxinghaoping	五_星___好__评___
geitongshimaide	给__同___事__买__的_
yongleyitianhenhao	用___了_一_天___很__好__
wuliuhenkuai	物_流__很__快___
songhuosudumankuaide	送___货__速_度_蛮__快___的_
dongxiyehaibucuo	东___西_也_还__不_错__
xingjiabihaihao	性___价__比_还__好__
shigeliangnianzaicirushoumeizu	时__隔_两____年___再__次_入_手___魅__族_
danshizhebaozhuangnijiubunenggeiwojiadiantianchongwu	但__是__这__包__装_____你_就__不_能___给__我_加__点___填___充____物_
xitongliuchang	系_统___流__畅____
shiyongshufu	使__用___舒__服_
jiushidadianhuayoudianbuqingxi	就__是__打_电___话__有__点___不_清___晰_
kuozhanneicun	扩__展___内__存__
chongdiantouyoudaigaijin	充____电___头__有__待__改__进__
shiyongzhong	使__用___中____
haixing	还__行___
jiukacao	就__卡_槽__
shigeididimaide	是__给__弟_弟_买__的_
zijimeiyoukandao	自_己_没__有__看__到__
buguodidishuohenhao	不_过__弟_弟_说___很__好__
waiguanshenmededouhenhao	外__观___什___么_的_都__很__好__
woshibudongshoujide	我_是__不_懂___手___机_的_
tashuobucuojiuyinggaishizhendebucuo	他_说___不_错__就__应___该__是__真___的_不_错__
zuogongjingxi	做__工___精___细_
gangnadaoshou	刚___拿_到__手___
ganjuezhiwenjianhuichengweiyisunjian	感__觉__指__纹__键___会__成____为__易_损__件___
anjianbuling	按_键___不_灵___
haishixinshoujine	还__是__新__手___机_呢_
yongqilaigenfanxinjiyiyang	用___起_来__跟__翻__新__机_一_样___
shenqingtuihuoyebulihui	申___请___退__货__也_不_理_会__
shouhoushizaitaicha	售___后__实__在__太__差__
meiyouyigeanjiannengyong	没__有__一_个_按_键___能___用___
zhenxinbunengyong	真___心__不_能___用___
maideshihoujiunamereqing	买__的_时__候__就__那_么_热_情___
youwentijiuyizhituotuolalabuyulihui	有__问__题_就__一_直__拖__拖__拉_拉_不_予_理_会__
zuishibaideyicigouwu	最__失__败__的_一_次_购__物_
shouganfeichanghao	手___感__非__常____好__
xingjiabigao	性___价__比_高__
laizimeiyouyimei	来__自_魅__友__一_枚__
hao	好__
yijingmailedisantaile	已_经___买__了_第_三__台__了_
fahuokuai	发_货__快___
songhuokuai	送___货__快___
zuixihuanjingdongzhedian	最__喜_欢___京___东___这__点___
tinghaode	挺___好__的_
zhengzaishiyongzhong	正____在__使__用___中____
zanshimeifaxianshenmewenti	暂__时__没__发_现___什___么_问__题_
shoujishoudaole	手___机_收___到__了_
wuliumeideshuo	物_流__没__的_说___
shoujiyebucuo	手___机_也_不_错__
bangpengyoumaide	帮___朋___友__买__的_
pengyouhenxihuan	朋___友__很__喜_欢___
bixiangxiangzhonghao	比_想____象____中____好__
baozhuanghenhao	包__装_____很__好__
shoujiyehenhao	手___机_也_很__好__
yemeiyousunhuai	也_没__有__损__坏___
shoujizongtitingbangde	手___机_总___体_挺___棒___的_
youshibuzhishenmedefangchucuo	有__时__不_知__什___么_地_方___出__错__
dianjibule	点___击_不_了_
zongtibucuoba	总___体_不_错__吧_
jiushidianyongdetaikuaile	就__是__电___用___的_太__快___了_
fangwaiyinhuiyouyixiezayin	放___外__音__会__有__一_些__杂_音__
duiyuyouqiangpozhengdeqinmenlaishuokenenghuijieshoubule	对__于_有__强____迫_症____的_亲__们__来__说___可_能___会__接__受___不_了_
danshixingjiabihengaole	但__是__性___价__比_很__高__了_
zhidegoumai	值__得_购__买__
haimeizenmewan	还__没__怎__么_玩__
ganjuehaisuanbucuo	感__觉__还__算___不_错__
danshichakadedefang	但__是__插__卡_的_地_方___
haoxiangyoudianbutaifangbian	好__像____有__点___不_太__方___便___
zhexitongyeshidiyiciyong	这__系_统___也_是__第_一_次_用___
yongyongzaishuo	用___用___再__说___
fahuosudukuai	发_货__速_度_快___
pingmuxiangdangqingxia	屏___幕_相____当___清___晰_啊
bihuaweide4xhaotaiduole	比_华__为__的_4x好__太__多__了_
shoujibucuo	手___机_不_错__
feichangxihuan	非__常____喜_欢___
wuliuchaokuai	物_流__超___快___
shoujihenhao	手___机_很__好__
laopohenxihuan	老__婆_很__喜_欢___
tonghuaqingxi	通___话__清___晰_
waiguanpiaoliang	外__观___漂___亮____
shiyicihenhaodewanggou	是__一_次_很__好__的_网___购__
quanwufen	全___五_分__
kuaidihaoping	快___递_好__评___
qiantianwanshangdingde	前___天___晚__上____订___的_
zuotianxiawujiudaole	昨__天___下__午_就__到__了_
shoujitinghaokande	手___机_挺___好__看__的_
shiyongliuchang	使__用___流__畅____
yanzhizhengao	颜__值__真___高__
jizishouganhenbucuo	机_子_手___感__很__不_错__
taocanhenzhi	套__餐__很__值__
chongdianbao	充____电___宝__
